Date,High,Low,Open,Close,Volume,Adj Close
2016-03-31,4.247700214385986,4.228000164031982,4.23829984664917,4.23753023147583,0,4.23753023147583
2016-04-03,4.253300189971924,4.2230000495910645,4.242199897766113,4.242300033569336,0,4.242300033569336
2016-04-04,4.264999866485596,4.236000061035156,4.238369941711426,4.238500118255615,0,4.238500118255615
2016-04-05,4.2794599533081055,4.250999927520752,4.261630058288574,4.262149810791016,0,4.262149810791016
2016-04-06,4.300680160522461,4.25,4.265639781951904,4.266039848327637,0,4.266039848327637
2016-04-07,4.2977399826049805,4.2829999923706055,4.292300224304199,4.293000221252441,0,4.293000221252441
2016-04-10,4.294119834899902,4.269000053405762,4.2932000160217285,4.293099880218506,0,4.293099880218506
2016-04-11,4.297500133514404,4.271100044250488,4.274050235748291,4.273580074310303,0,4.273580074310303
2016-04-12,4.29403018951416,4.271999835968018,4.288099765777588,4.28380012512207,0,4.28380012512207
2016-04-13,4.307499885559082,4.284999847412109,4.28665018081665,4.28665018081665,0,4.28665018081665
2016-04-14,4.3018999099731445,4.2870001792907715,4.295949935913086,4.296050071716309,0,4.296050071716309
2016-04-17,4.309500217437744,4.289999961853027,4.291200160980225,4.2906999588012695,0,4.2906999588012695
2016-04-18,4.308340072631836,4.284999847412109,4.305699825286865,4.307340145111084,0,4.307340145111084
2016-04-19,4.302499771118164,4.2789998054504395,4.296000003814697,4.295889854431152,0,4.295889854431152
2016-04-20,4.3166399002075195,4.267899990081787,4.26800012588501,4.269499778747559,0,4.269499778747559
2016-04-21,4.371200084686279,4.315000057220459,4.322440147399902,4.322440147399902,0,4.322440147399902
2016-04-24,4.426390171051025,4.35699987411499,4.360199928283691,4.360350131988525,0,4.360350131988525
2016-04-25,4.41471004486084,4.363999843597412,4.407899856567383,4.407800197601318,0,4.407800197601318
2016-04-26,4.409249782562256,4.368000030517578,4.372399806976318,4.372200012207031,0,4.372200012207031
2016-04-27,4.398809909820557,4.376999855041504,4.382299900054932,4.383150100708008,0,4.383150100708008
2016-04-28,4.409599781036377,4.363999843597412,4.3926801681518555,4.392640113830566,0,4.392640113830566
2016-05-01,4.393080234527588,4.362500190734863,4.367839813232422,4.367839813232422,0,4.367839813232422
2016-05-02,4.4056501388549805,4.363999843597412,4.378089904785156,4.377799987792969,0,4.377799987792969
2016-05-03,4.405980110168457,4.38700008392334,4.394440174102783,4.394440174102783,0,4.394440174102783
2016-05-04,4.4293999671936035,4.386000156402588,4.3993401527404785,4.399240016937256,0,4.399240016937256
2016-05-05,4.435659885406494,4.39900016784668,4.402939796447754,4.40064001083374,0,4.40064001083374
2016-05-08,4.4330902099609375,4.4029998779296875,4.42903995513916,4.42903995513916,0,4.42903995513916
2016-05-09,4.431139945983887,4.406000137329102,4.4299798011779785,4.430069923400879,0,4.430069923400879
2016-05-10,4.427440166473389,4.412099838256836,4.412099838256836,4.4110798835754395,0,4.4110798835754395
2016-05-11,4.433010101318359,4.40500020980835,4.423840045928955,4.425139904022217,0,4.425139904022217
2016-05-12,4.418859958648682,4.38700008392334,4.409019947052002,4.4090399742126465,0,4.4090399742126465
